country_id,countryname
1,England
2,Spain
3,Germany
4,Brazil
5,Netherlands
6,Egypt
7,Portugal
8,Norway
9,Denmark
10,Belgium
11,Nigeria
12,Colombia
13,Switzerland
14,Hungary
15,France
16,Austria
17,Morocco
18,Croatia
19,Poland
20,Slovenia
21,Uruguay
22,Argentina
23,Turkey
24,USA
25,Canada
26,Mexico
27,Italy
28,Sweden
29,Greece
30,Scotland
31,Russia
32,Japan
33,South Korea
34,Australia
35,Chile
36,Peru
37,Senegal
38,Cameroon
39,South Africa
40,Ivory Coast
41,Wales
42,Ghana
43,Czech Republic
44,Ukraine
45,Romania
46,Paraguay
47,Serbia
48,Iran