player_id,playername,player_nationality_id,team_id,age,position
1,Kepa Arrizabalaga,2,1,29,GK
2,John Myers,9,1,23,GK
3,Valerie English,5,1,25,FWD
4,Stephanie Wilkins,17,1,19,FWD
5,Steven Warren,45,1,24,GK
6,Christopher Black,27,1,29,GK
7,Jasmine Berg,21,1,27,DEF
8,Jeff Wiggins,46,1,19,MID
9,Terri Perry,24,1,34,FWD
10,William Thornton,45,1,30,MID
11,Dawn Horn,28,1,21,FWD
12,Amy Miller,9,2,25,GK
13,Michele Kennedy,23,2,18,FWD
14,Michael Vargas,13,2,18,GK
15,Daniel White,4,2,22,FWD
16,Mr. Anthony Davis DVM,19,2,30,FWD
17,Michael Thompson,2,2,21,GK
18,Shelia Barnes,23,2,34,FWD
19,Theresa Bowers,48,2,31,MID
20,James Carr,11,2,24,MID
21,April Escobar,16,2,19,GK
22,Dawn Decker,14,2,19,GK
23,Brian Gonzalez,17,3,21,FWD
24,Sara Villa,7,3,29,DEF
25,Timothy Hernandez,39,3,23,GK
26,Sarah Ross,46,3,31,DEF
27,Stacey Jensen,36,3,21,MID
28,Sergio Conner,31,3,18,GK
29,Jennifer Johnson,38,3,24,MID
30,James Walker,39,3,20,FWD
31,Theresa Macdonald,13,3,31,DEF
32,Jacqueline Small,36,3,24,DEF
33,Lisa Ramsey,1,3,27,GK
34,Dr. Tracie Grant,17,4,20,MID
35,Natasha Patton,12,4,25,GK
36,Tonya Watson,47,4,31,FWD
37,Steve Castillo,27,4,31,DEF
38,Alison Davis,28,4,20,GK
39,Anthony Johnson,21,4,24,FWD
40,Amber Kelley,35,4,25,GK
41,James Byrd,42,4,22,FWD
42,William Blackburn,5,4,22,MID
43,Shane Waters,37,4,24,FWD
44,Cindy James,41,4,29,GK
45,Joel Salinas,34,5,30,GK
46,Danielle Carr,20,5,20,MID
47,Miss Christina King,37,5,21,FWD
48,Michael Pearson,47,5,33,GK
49,Benjamin Ho,2,5,20,DEF
50,William Gray,20,5,23,MID
51,Robert Lawrence,19,5,34,MID
52,Kenneth Rodriguez,28,5,19,MID
53,Phillip Moreno,39,5,34,MID
54,Kristi White,28,5,30,DEF
55,Aimee Douglas,3,5,30,FWD
56,John Smith,32,6,23,DEF
57,Rebekah Campbell,45,6,32,GK
58,Paul Martinez,3,6,30,FWD
59,Sheryl Peterson,16,6,18,DEF
60,Christopher Johnson,23,6,31,DEF
61,Emma Grimes,6,6,28,MID
62,Stephanie Hall,6,6,21,FWD
63,Darlene Cooke,21,6,34,DEF
64,Melissa Goodwin,6,6,20,MID
65,Kelly Bell,22,6,25,GK
66,Jordan Johnson,31,6,35,FWD
67,Michael Allen,31,7,32,MID
68,Jeremy Alvarado,29,7,34,MID
69,Wendy West,44,7,27,DEF
70,Joseph Huang,16,7,31,GK
71,Kayla Branch,11,7,21,FWD
72,Monica Tucker,40,7,20,DEF
73,Todd Johnson,11,7,30,DEF
74,George Dickerson,6,7,34,FWD
75,Chris Combs,46,7,31,MID
76,Mr. Scott Rowland,1,7,26,FWD
77,Richard Sparks,40,7,31,DEF
78,Barbara Brooks,13,8,24,GK
79,Heather Walker,20,8,19,GK
80,Sandra Kelley,16,8,24,MID
81,Victor Sexton,27,8,35,FWD
82,Thomas Brown,42,8,20,GK
83,Ann Parker,34,8,34,FWD
84,Manuel Reyes,44,8,20,GK
85,Michael Terry,9,8,22,MID
86,Cheryl Collins,16,8,27,GK
87,Tammy Hart,34,8,31,GK
88,Jacqueline Jones,37,8,31,GK
89,Michael Moran,8,9,34,FWD
90,John Stephens,3,9,22,DEF
91,Kevin Moore,46,9,31,GK
92,Brandi Pineda,18,9,34,MID
93,Wesley Chen,15,9,22,FWD
94,Jennifer Lamb,13,9,27,DEF
95,Karen Padilla,30,9,23,GK
96,Erica Duncan,4,9,31,GK
97,Evan Jackson,32,9,28,DEF
98,Maria Fox,25,9,29,FWD
99,Rhonda Smith,5,9,21,MID
100,Lisa Chen,1,10,22,GK
101,Scott Miles,46,10,19,FWD
102,Connor Williams,18,10,33,MID
103,Maria Palmer,13,10,19,FWD
104,Steven Kirby,23,10,22,MID
105,Douglas Snyder,31,10,32,FWD
106,Christian Miller,8,10,34,GK
107,James Taylor,19,10,20,FWD
108,Mike Burch,15,10,19,DEF
109,Cynthia Warren,16,10,35,DEF
110,Michael Clark,28,10,20,GK
111,Christopher Mendez,11,11,18,MID
112,Adrienne Pittman,11,11,29,GK
113,William Gray,1,11,35,FWD
114,Teresa Gomez,2,11,28,DEF
115,Taylor Webster,32,11,18,GK
116,Jason Stone,27,11,31,GK
117,Caroline Stafford,21,11,29,MID
118,Jenny Weiss,48,11,35,MID
119,Mary Perez,40,11,20,FWD
120,Kara Sanchez,29,11,18,MID
121,Brandon Johnson MD,36,11,25,MID
122,David Brown,20,12,18,GK
123,Danielle Ortiz,46,12,23,FWD
124,James Coleman,7,12,34,MID
125,Emily Fernandez,22,12,30,DEF
126,Shawn Mcgrath,1,12,30,DEF
127,Nathan Rhodes,24,12,31,FWD
128,Kenneth Gibson,10,12,21,DEF
129,Todd Wang,9,12,19,GK
130,Marcus Chase,3,12,28,DEF
131,William Glover,45,12,19,GK
132,Matthew Walker,17,12,34,MID
133,Devin Castillo,32,13,20,GK
134,Kathryn Shepherd,26,13,35,FWD
135,Kenneth Martin,21,13,32,FWD
136,Nicholas Cannon,9,13,26,MID
137,Sean Franklin,7,13,27,MID
138,Kimberly Alvarez,12,13,28,MID
139,Tanya Mcneil,18,13,30,MID
140,Monica Lewis,29,13,29,FWD
141,Chris Ramos,43,13,21,MID
142,Stephanie Spencer,45,13,25,DEF
143,Angela Cardenas,6,13,21,GK
144,Jessica Richmond,46,14,18,DEF
145,Hannah Gonzalez,31,14,33,FWD
146,Rhonda Mack,17,14,18,MID
147,Michael Taylor,38,14,34,DEF
148,Shane Thomas,5,14,18,GK
149,Darlene Thompson,19,14,30,MID
150,Jessica Cook,23,14,28,GK
151,Alyssa Bishop,30,14,18,FWD
152,Luis Neal,40,14,24,MID
153,Michael Camacho,43,14,34,MID
154,Peter Johnson,48,14,30,DEF
155,Laura Rosario,38,15,34,MID
156,Christopher Bond,26,15,35,GK
157,Mark Hernandez,21,15,23,GK
158,Jill Vasquez,20,15,26,FWD
159,Garrett Thompson,15,15,26,DEF
160,Julia Johnston,38,15,18,GK
161,Gregory Barron,18,15,30,FWD
162,Christopher Hicks,26,15,31,FWD
163,Melinda Holmes,6,15,19,FWD
164,Christopher Hanson,15,15,26,GK
165,Alexandra Sanchez,38,15,23,GK
166,Dylan Phillips,14,16,30,DEF
167,Ashley Walker,43,16,25,DEF
168,Willie West,26,16,22,MID
169,Raymond Jackson,19,16,28,MID
170,Mark Hodges,20,16,28,GK
171,Mark Harper,18,16,30,MID
172,Ryan Gallagher,32,16,25,FWD
173,Brianna Roberts,17,16,35,FWD
174,Joseph Riley,44,16,18,DEF
175,Michael Williams,6,16,27,GK
176,Stephanie Clayton,21,16,31,DEF
177,John Coffey,35,17,23,FWD
178,Elizabeth Beard,18,17,21,MID
179,John Jackson,19,17,19,FWD
180,Olivia Gilbert,32,17,19,DEF
181,Jacob Sullivan,10,17,24,FWD
182,Amanda Cruz,38,17,24,FWD
183,Samantha West,15,17,18,GK
184,Ashley Mann,42,17,18,MID
185,Mr. Charles Johnson,25,17,18,DEF
186,Jason Castillo,31,17,22,MID
187,Susan Rodriguez,43,17,18,GK
188,Cody Colon,33,18,29,DEF
189,Stacy Smith,29,18,28,GK
190,Jesus Lee,37,18,27,GK
191,Christopher Wilson,5,18,33,MID
192,Danielle Washington,44,18,35,MID
193,Robert Ramirez,4,18,26,MID
194,Brandon Marshall,12,18,24,FWD
195,Keith Atkinson,35,18,29,FWD
196,Crystal Morgan,30,18,31,DEF
197,Benjamin Livingston,32,18,22,MID
198,Daniel Dunn,19,18,35,MID
199,Victoria Franco,16,19,20,GK
200,Brandon Gomez,16,19,24,MID
201,Bruce Gilbert,11,19,33,GK
202,Alicia Bush,24,19,24,GK
203,Laura Campbell,2,19,30,MID
204,Robert Harvey,21,19,21,MID
205,Cody Blevins,2,19,33,DEF
206,John Willis,40,19,19,DEF
207,Justin Rice,33,19,23,GK
208,Ashley Pitts,1,19,30,MID
209,John Carr,1,19,31,MID
210,Mariah Goodman,29,20,34,GK
211,Jonathan Richardson,35,20,25,GK
212,Jason Hardy,4,20,18,MID
213,Elizabeth Knight,15,20,23,DEF
214,Jennifer Monroe,38,20,30,MID
215,Latoya Baker,31,20,21,DEF
216,Brandy Reilly,8,20,35,MID
217,Tamara Ramirez,24,20,25,MID
218,Christina Sanchez,29,20,25,MID
219,Thomas Olson,22,20,33,FWD
220,Isaac Rodriguez,12,20,30,DEF
221,Beth Campbell,4,21,26,DEF
222,Jamie Cole,40,21,31,DEF
223,Heather Moon,18,21,25,DEF
224,David Gonzalez,32,21,30,MID
225,Vanessa Carlson,9,21,30,DEF
226,Michael Clements,32,21,20,GK
227,Michael Clark,42,21,19,MID
228,Grant Roberts,48,21,27,MID
229,James Henson,19,21,26,MID
230,Abigail Burgess,42,21,21,GK
231,Benjamin Smith,20,21,31,FWD
232,Cindy Carroll,14,22,21,DEF
233,Barbara Price DVM,36,22,24,GK
234,Sean Franklin,21,22,18,FWD
235,Mary Smith,34,22,30,FWD
236,Brian Johnson,12,22,18,GK
237,Jason Gray,4,22,27,FWD
238,Eddie Harrison,22,22,34,GK
239,David Owens,47,22,28,MID
240,Cynthia Henderson,38,22,19,GK
241,James Dean,5,22,19,GK
242,Tiffany Brooks,1,22,32,MID
243,Susan Berry,26,23,21,MID
244,Tara Hall,17,23,27,GK
245,Monica Porter,42,23,29,FWD
246,Veronica Chapman,43,23,20,FWD
247,Denise Graham,47,23,28,MID
248,Dawn Blake,28,23,31,GK
249,Daniel Hansen,8,23,32,MID
250,Benjamin Wong,12,23,32,MID
251,Lindsey Cummings,19,23,20,MID
252,Amy Dorsey,14,23,31,MID
253,Scott Wright,12,23,19,GK
254,Marissa Bennett,17,24,22,MID
255,Maria Santiago,36,24,20,GK
256,Jessica Phillips,23,24,23,GK
257,Melissa Moreno,11,24,34,MID
258,Trevor Bradley,20,24,26,GK
259,Stacy Rollins,10,24,18,DEF
260,Ariel Case,38,24,33,GK
261,Lori Smith,34,24,19,DEF
262,Courtney Hodges,32,24,30,DEF
263,Leah Ramirez,46,24,34,MID
264,Michelle Obrien,48,24,30,DEF
265,John Harris,15,25,24,DEF
266,Kelsey Williams,26,25,34,MID
267,Christine Brown,25,25,22,GK
268,Karen Saunders,16,25,32,GK
269,Cynthia Hooper,29,25,21,MID
270,Brittney Barr,36,25,31,DEF
271,Tyler Larson,46,25,27,GK
272,John Davidson,44,25,29,FWD
273,Jessica Parks,7,25,32,GK
274,Christine Fields,11,25,18,DEF
275,Justin Sullivan,4,25,28,FWD
276,Chase Nelson,34,26,33,FWD
277,Paula Lee,13,26,25,FWD
278,Phillip Castillo,15,26,27,FWD
279,Tammy Anderson,28,26,33,GK
280,Reginald Hamilton,1,26,28,DEF
281,Terry Cortez,26,26,30,GK
282,Kimberly Evans,19,26,21,MID
283,Brenda Greene,32,26,22,DEF
284,John Bullock,35,26,30,DEF
285,Emily Roberts,21,26,18,MID
286,David Bright,32,26,24,GK
287,Corey Garcia,23,27,19,DEF
288,Jesus Diaz,28,27,26,MID
289,Kristie Ward,12,27,18,GK
290,James Henry,43,27,18,FWD
291,David Massey,48,27,35,FWD
292,Lisa Phillips,13,27,24,MID
293,Jennifer Harvey,19,27,31,DEF
294,Patricia Cox,19,27,20,MID
295,Brandon Wright,8,27,19,DEF
296,Kevin Pierce,7,27,34,DEF
297,Angela Walton,24,27,30,GK
298,Juan Arnold,3,28,32,DEF
299,Matthew Torres,12,28,22,DEF
300,Bradley Smith,43,28,22,MID
301,Gregory Wood,34,28,19,GK
302,Joanne Ellis,7,28,18,FWD
303,Madison Robbins,31,28,33,MID
304,Colton Cantu,16,28,30,FWD
305,Samuel Thomas,43,28,20,FWD
306,Kathleen Castillo,26,28,19,FWD
307,Sandra Hanson,47,28,18,FWD
308,James Gillespie,32,28,26,FWD
309,Timothy Caldwell,44,29,31,DEF
310,Ashley Mitchell,47,29,25,DEF
311,Erica Martinez,28,29,28,MID
312,Jane Reyes,1,29,25,MID
313,Christopher Schneider,35,29,32,GK
314,Patricia Knight,29,29,34,DEF
315,Kelli Nelson,13,29,32,GK
316,Dr. David Ramirez,24,29,22,MID
317,Mrs. Allison Smith,25,29,32,GK
318,Larry Holt,1,29,28,MID
319,Danielle Lopez,41,29,30,GK
320,Janet Hanna,25,30,20,FWD
321,Mariah Ortiz,19,30,25,DEF
322,Nicholas Moyer,32,30,30,FWD
323,Sherri Benson,10,30,22,FWD
324,Richard Ayala,27,30,27,FWD
325,Phillip Hammond,41,30,19,FWD
326,Latasha Ferguson,21,30,29,MID
327,Mrs. Cynthia Hanson MD,39,30,26,FWD
328,John Pruitt,45,30,20,FWD
329,Traci Pace,46,30,29,GK
330,Christopher Douglas,36,30,32,FWD
331,Edgar Mcguire,12,31,34,GK
332,Amber Armstrong,5,31,20,MID
333,Alicia Guerra,34,31,26,GK
334,Christine Collins,41,31,29,DEF
335,Brian Miller,27,31,31,DEF
336,Zachary Carlson,12,31,21,FWD
337,Joshua Barnes,32,31,24,FWD
338,Stephanie Reynolds,47,31,33,DEF
339,Zachary Hickman,12,31,28,MID
340,Sean White,15,31,28,MID
341,Marcia Jackson,29,31,19,DEF
342,Virginia Mcdonald,5,32,32,MID
343,Mr. Mitchell Pierce MD,29,32,32,FWD
344,Mason Cisneros,4,32,27,DEF
345,Eric Graves,4,32,29,DEF
346,Kimberly Gardner,12,32,33,GK
347,Scott Bradshaw,35,32,31,MID
348,Edward Benjamin,17,32,18,GK
349,Danielle Moore,10,32,24,GK
350,Mark Malone,26,32,18,GK
351,Jessica Thompson,12,32,25,FWD
352,Anthony Bryant,48,32,22,GK
353,Randall Gomez,20,33,23,DEF
354,Thomas Osborne,25,33,25,FWD
355,Shawn Holloway,27,33,23,GK
356,Katie Houston,29,33,26,DEF
357,Jose Jackson,43,33,32,DEF
358,Elizabeth Cherry,28,33,31,MID
359,Brandi Stewart,9,33,33,MID
360,Dr. Katherine Rocha,13,33,21,DEF
361,Samantha Robinson,4,33,35,MID
362,Shannon Bailey,15,33,19,FWD
363,Angela Reyes,46,33,31,FWD
364,Jeremy Reed,48,34,33,GK
365,Paul Hendricks,35,34,30,GK
366,Robert King,42,34,27,MID
367,Heather Castaneda,28,34,21,MID
368,John Ross,44,34,32,GK
369,Christopher Fuller,37,34,33,FWD
370,Kelly Rivers,47,34,26,MID
371,Michael Jefferson,23,34,27,DEF
372,Crystal White,31,34,27,GK
373,Anna Mccarthy,10,34,23,GK
374,Peter Peters,11,34,32,MID
375,Jose Morris,17,35,33,GK
376,Paul Sims,3,35,28,DEF
377,Matthew Miller,6,35,24,DEF
378,Yvonne Hughes,36,35,32,FWD
379,Amy Peterson,18,35,34,DEF
380,Sherri Barnes,29,35,30,DEF
381,Roger Blanchard III,39,35,30,MID
382,Bridget Leblanc,39,35,27,GK
383,Abigail Morris,26,35,23,FWD
384,Paul Williams,22,35,33,MID
385,Julie Davis,40,35,29,FWD
386,Jesse Burnett,26,36,29,GK
387,Kimberly Davis,39,36,34,DEF
388,Ryan Singh,24,36,18,GK
389,Erica Mitchell DVM,46,36,27,GK
390,Elizabeth Landry,32,36,30,GK
391,Paul Holmes,30,36,20,FWD
392,Michael Heath,21,36,18,GK
393,Eric Taylor,1,36,24,DEF
394,Stephanie Hubbard,19,36,20,GK
395,Natalie Patterson,48,36,32,DEF
396,Elizabeth Huffman,44,36,24,DEF
397,James Moore,24,37,26,GK
398,Jeremy Jackson,47,37,29,FWD
399,Donna Garcia,36,37,31,FWD
400,Dr. Amy Hernandez,17,37,20,GK
401,Holly Strickland,47,37,29,MID
402,Rebecca Miller,40,37,34,FWD
403,Justin Johnson,3,37,26,MID
404,Adam Cervantes,41,37,31,DEF
405,Amber Jones,32,37,19,MID
406,Joshua Perez,28,37,31,MID
407,Bobby Mcdowell,37,37,26,GK
408,Cheryl Gross,42,38,27,DEF
409,Tabitha Sheppard,23,38,23,FWD
410,Margaret Moss,21,38,22,GK
411,Gabriel Paul,18,38,32,FWD
412,Zachary Ferguson,8,38,31,GK
413,Kyle Phillips,12,38,20,GK
414,James Stanton,47,38,30,MID
415,Martin Long,2,38,30,GK
416,Ashley Johnson,38,38,19,FWD
417,Charles Cooper,21,38,24,FWD
418,Adam Jones,47,38,20,GK
419,Ashley Smith,8,39,28,GK
420,Mr. Robert Rodriguez IV,7,39,31,MID
421,Jennifer Parks,34,39,30,DEF
422,William Butler,35,39,30,DEF
423,Thomas Diaz,22,39,19,GK
424,James Ward,16,39,33,MID
425,Dr. Scott Nichols,3,39,31,MID
426,Albert Lewis,33,39,34,DEF
427,Erin Smith,44,39,23,DEF
428,Brianna Hoffman,19,39,32,FWD
429,Kimberly Mcdonald,45,39,32,DEF
430,Kimberly Ball,41,40,25,GK
431,Mark Roberson,2,40,19,GK
432,Jared Boyd,22,40,18,DEF
433,Jeffrey Rasmussen,10,40,29,MID
434,Amy Romero,30,40,23,GK
435,Gene Chang,21,40,20,FWD
436,Stephanie Brown,17,40,22,MID
437,Nicholas Hendrix,40,40,29,FWD
438,Matthew Rivera,30,40,20,MID
439,Laura Stone,35,40,33,MID
440,Lori Gutierrez,45,40,20,FWD
441,Alexa Gonzalez,42,41,29,GK
442,Christopher Kelly,44,41,34,FWD
443,Elizabeth Odom,11,41,30,MID
444,Michael Nelson,44,41,24,FWD
445,Alexander Reid,7,41,28,DEF
446,Julian Cortez,30,41,21,FWD
447,Carrie Rivas,1,41,19,DEF
448,Robert Newman,9,41,33,DEF
449,Joseph Jackson,5,41,29,GK
450,Jason Smith,8,41,32,MID
451,Frank Jordan MD,43,41,27,GK
452,Vincent Williams,43,42,32,FWD
453,Katie Perez,7,42,23,FWD
454,Jessica Strickland,6,42,20,MID
455,Raymond Harvey,41,42,23,FWD
456,Maria Scott,25,42,27,DEF
457,Patricia Hoover,19,42,29,DEF
458,Matthew Pierce,9,42,28,DEF
459,Thomas Fox,28,42,32,MID
460,Jennifer Harris,1,42,27,GK
461,Christopher Turner,11,42,22,DEF
462,Thomas Bell,18,42,31,GK
463,Miss Alexandra Stark,16,43,27,DEF
464,Tyler Oconnor,29,43,35,GK
465,Amy Wong,4,43,20,FWD
466,Tamara Foster,8,43,31,DEF
467,Joshua Evans,20,43,25,FWD
468,Kristin Barton,45,43,33,GK
469,Shannon Smith,31,43,32,GK
470,Andrea Walton,16,43,19,FWD
471,Angela Taylor,31,43,18,DEF
472,Andre Evans,32,43,20,DEF
473,Joshua Tran,41,43,31,GK
474,Katherine Shaw,13,44,28,DEF
475,Michael Sharp,34,44,33,MID
476,Melanie Castro,45,44,23,FWD
477,Samantha Williams,33,44,18,MID
478,Anna Cunningham,20,44,34,DEF
479,Henry Solis,35,44,28,GK
480,Annette Robinson,39,44,22,MID
481,Heidi Cole,34,44,28,FWD
482,Mathew Hurst,1,44,25,MID
483,Stanley Smith,41,44,30,FWD
484,Richard Ayers,33,44,27,FWD
485,Brian Thomas,12,45,30,MID
486,Dr. Nicholas Davis,43,45,30,MID
487,Benjamin Gay,1,45,19,MID
488,Joel Chapman,2,45,34,GK
489,Alexandra Rowe,19,45,35,DEF
490,David Alexander,14,45,23,GK
491,Douglas Sharp,18,45,34,GK
492,Alex Brown,24,45,25,FWD
493,Michael Walker,19,45,31,FWD
494,Sarah Lewis,45,45,32,MID
495,Thomas Cruz,41,45,22,GK
496,Edward Mann,22,46,33,GK
497,Emily Clayton,19,46,20,FWD
498,Matthew Davidson,36,46,33,FWD
499,Kyle Stevens,5,46,21,DEF
500,Rebecca Kelley,37,46,30,MID
501,Kathryn Davidson,31,46,22,FWD
502,Allison Thomas,42,46,29,DEF
503,Kelly Ross,7,46,29,DEF
504,Brenda Miller DDS,11,46,20,FWD
505,James Lloyd,39,46,27,DEF
506,Paula Garrett,28,46,33,MID
507,Brenda Taylor,44,47,21,GK
508,Amber Hobbs,39,47,27,FWD
509,Lindsay Harris,20,47,25,MID
510,Rhonda Jennings,46,47,29,GK
511,James Evans,20,47,29,MID
512,Robert Williams,18,47,20,FWD
513,Shannon Hicks,6,47,32,GK
514,Barbara Lowe,32,47,21,GK
515,Scott Acosta,4,47,31,GK
516,Stephanie Miller,41,47,19,GK
517,Andrew Brooks,17,47,18,DEF
518,Patrick Woods,20,48,23,GK
519,Sean White,28,48,23,MID
520,James Davis,17,48,35,GK
521,Anthony Hardin,24,48,21,MID
522,Kevin Cruz,30,48,28,FWD
523,Christopher Schultz DVM,18,48,25,DEF
524,Jaclyn Day,45,48,25,DEF
525,Andrew Wilkins,32,48,28,DEF
526,Mr. James Schroeder,18,48,19,FWD
527,Matthew Henderson,44,48,26,DEF
528,Kyle Simpson,20,48,19,GK
